연번,품명,HS부호,품명번호,표준품명_한글,표준품명_영문,규격번호,규격순번,필수규격_한글,필수규격_영문,규격값,세부분류내용,비고,시작일자,만료일자,용도구분
178,건조녹두,713319000,1,건조녹두(탈피한 것),"Dried mungbeans, peeled",1,1,정립율,Perfectness,H,95%이상,,2007-06-15,2023-12-31,
179,건조팥,713329000,1,건조팥(적색),Dried Small red beans,1,1,정립율,Perfectness,H,95%이상,,2007-06-15,2023-12-31,
180,종자용 강낭콩(파세러스 불가리스),713331000,1,종자용 네이비빈,Navy beans for seed ,1,1,정립율,Perfectness,H,95%이상,,2007-07-16,2023-12-31,
181,기타 강낭콩(파레러스 불가리스),713339000,1,네이비빈,Navy beans ,1,1,반태여부,Split,N,온태,,2007-07-16,2023-12-31,
182,냉동고구마,714204000,1,냉동고구마,Frozen Sweet Potato,1,1,냉동방법,Freezing,B,블록냉동,,2007-06-15,2023-12-31,
183,건연근,714909090,1,건연근,"East Indian Lotus, Dried ",,,,,,,,2014-12-02,2023-12-31,기타세번
184,밤,802410000,1,밤,"Chestnuts, in shell",1,1,고르기,Equality,H,5%이하,,2012-01-01,2023-12-31,
185,매년 11월1일부터 다음해 4월30일까지 수입되는 물품,806100000,1,매년 11월1일부터 다음해 4월30일까지 수입되는 물품,Import Between November and April of next year,,,,,,,,2014-12-02,2023-12-31,기타세번
186,사과,808100000,1,사과,Apples,1,1,체형,shape,1, 후지품종,,2022-01-02,2023-12-31,FTA세율
187,배,808300000,1,배,Pears,1,1,체형,shape,1, 동양배 품종,,2022-01-02,2023-12-31,FTA세율
188,석류,810909000,1,석류,Pomegranate,,,,,,,,2013-09-23,2023-12-31,기타세번
189,냉동딸기,811100000,1,냉동딸기,Frozen Strawberry,1,1,냉동방법,Freezing,B,블록냉동,,2007-06-15,2023-12-31,
190,냉동밤,811901000,1,냉동깐밤,Frozen fresh chestnut,1,1,개당평균중량,Weight,L,16g~25g미만,,2007-06-15,2023-12-31,
191,냉동잣,811903000,1,냉동깐잣,Frozen Pinenuts(shelled),1,1,100g당 알맹이수,size,L,600개이하,,2007-06-15,2023-12-31,
192,산딸기,811909000,1,산딸기,Blackberry,,,,,,,,2014-12-02,2023-12-31,기타세번
193,곶감,813401000,1,곶감(장형),Dried persimmons(Tall type),1,1,개당평균중량,Weight,L,30g이상,,2007-06-15,2023-12-31,
194,건딸기,813409000,1,건딸기,Strawberry,,,,,,,,2014-12-02,2023-12-31,기타세번
195,건고추,904210000,1,건고추(익도홍),Dried red pepper(Yidouhong),1,1,건조방법,Dried,A,화건,,2012-01-01,2023-12-31,
196,고춧가루,904220000,1,고춧가루(금탑),"Red pepper, ground or crushed(jinta)",1,1,건조방법,Dried,A,화건,,2012-01-01,2023-12-31,
197,신선냉장생강,910111000,1,신선냉장생강(원강),Fresh ginger,1,1,품종,Type,L,대강,,2022-01-02,2023-12-31,
198,건조생강,910112000,1,건조생강 편,"Dried Ginger, Sliced",,,,,,,,2022-02-24,2099-12-31,저가신고
199,기타생강,910119000,1,냉동 깐생강,"Frozen Ginger, Peeled",,,,,,,,2022-02-24,2099-12-31,저가신고
200,건조생강,910122000,1,건조생강 분,Dried Ginger Powder,,,,,,,,2022-02-24,2099-12-31,저가신고
201,기타생강,910129000,1,기타생강,Other ginger,,,,,,,,2012-01-01,2023-12-31,
202,레몬그래스,910999000,1,레몬그래스,Lemongrass,,,,,,,,2014-12-02,2023-12-31,기타세번
203,기타,1005909000,1,기타,Other,1,1,품종,type,1, 페루 자이언트 화이트 콘,,2022-01-02,2023-12-31,FTA세율
204,메현미,1006201000,1,메현미,Nonglutinous Husked(brown) rice,1,1,곡종,Type,L,장립종,,2015-01-01,2023-12-31,저가신고
205,찰현미,1006202000,1,찰현미,Glutinous Husked(brown) rice,1,1,곡종,Type,L,장립종,,2015-01-01,2023-12-31,저가신고
206,멥쌀,1006301000,1,멥쌀,Nonglutinous Semimilled or wholly milled rice,1,1,곡종,Type,L,장립종,,2015-01-01,2023-12-31,저가신고
207,찹쌀,1006302000,1,찹쌀,Glutinous Semimilled or wholly milled rice,1,1,곡종,Type,L,장립종,,2015-01-01,2023-12-31,저가신고
208,메밀,1008100000,1,메밀,Buckwheat,1,1,정립율,Perfectness,H,95%이상,,2007-06-15,2023-12-31,
209,율무,1008900000,1,율무,Job's Tear,,,,,,,,2014-12-02,2023-12-31,기타세번
210,메밀가루,1102909000,1,메밀가루,Buck Wheat Flour,,,,,,,,2014-12-02,2023-12-31,기타세번
211,옥수수의 것,1103209000,1,옥수수의 것,Corn pellet,,,,,,,,2014-12-02,2023-12-31,기타세번
212,깐메밀,1104299000,1,깐메밀,"buckwheat, hulled",1,1,정립율,Perfectness,H,95%이상,,2007-06-15,2023-12-31,
213,카사바 분말,1106209000,1,카사바 분말,Cassava Powder,,,,,,,,2014-12-02,2023-12-31,기타세번
214,옥수수전분,1108121000,1,식용 옥수수전분,Corn starch for food,,,,,,,,2007-06-15,2023-12-31,
215,옥수수전분,1108129000,1,기타 옥수수전분,Other corn starch,1,1,용도,Use,I,공업용,,2007-06-15,2023-12-31,
216,매니옥전분,1108141000,1,식용 매니옥전분,Manioc(Cassava) starch for food,,,,,,,,2007-06-15,2023-12-31,
217,매니옥전분,1108149000,1,기타 매니옥전분,Other manioc(cassava) starch,1,1,용도,Use,I,공업용,,2007-06-15,2023-12-31,
218,고구마전분,1108191000,1,고구마전분,Sweet Potato Starch,,,,,,,,2007-06-15,2023-12-31,
219,도토리의 것,1108199000,1,도토리의 것,Acorn Starch,,,,,,,,2014-12-02,2023-12-31,기타세번
220,콩나물용 콩,1201101000,1,백태,Soybean for bean sprouts(with yellow testa),1,1,알곡직경,Diameter,L,6.3mm이상,,2012-01-01,2023-12-31,
221,기타 대두,1201109000,1,백태,Soybean(with yellow testa),1,1,알곡직경,Diameter,L,6.3mm이상,,2012-01-01,2023-12-31,
222,채유 및 탈지대두박용 대두,1201901000,1,백태,Soybean(with yellow testa),1,1,알곡직경,Diameter,L,6.3mm이상,,2012-01-01,2023-12-31,
223,사료용 대두,1201902000,1,백태,Soybean(with yellow testa),1,1,알곡직경,Diameter,L,6.3mm이상,,2012-01-01,2023-12-31,
224,콩나물용 콩,1201903000,1,백태,Soybean for bean sprouts(with yellow testa),1,1,알곡직경,Diameter,L,6.3mm이상,,2012-01-01,2023-12-31,
225,기타 대두,1201909000,1,백태,Soybean(with yellow testa),1,1,알곡직경,Diameter,L,6.3mm이상,,2012-01-01,2023-12-31,
226,피 땅콩,1202301000,1,피땅콩,"Groundnuts, in shell",1,1,100g당 꼬투리수,size,L,39~46개/100g,,2012-01-01,2023-12-31,
227,내피땅콩,1202302000,1,알땅콩,"Groundnuts, shelled",1,1,100g당 꼬투리수,size,L,120~134개/100g,,2012-01-01,2023-12-31,
228,피 땅콩,1202410000,1,피땅콩,"Groundnuts, in shell",1,1,100g당 꼬투리수,size,L,39~46개/100g,,2012-01-01,2023-12-31,
229,내피땅콩,1202420000,1,알땅콩,"Groundnuts, shelled",1,1,100g당 꼬투리수,size,L,120~134개/100g,,2012-01-01,2023-12-31,
230,해바라기씨,1206000000,1,해바라기씨,Sunflower seeds,1,1,1g당 수량,Size,L,20개미만,,2007-07-16,2023-12-31,
231,참깨,1207400000,1,참깨(황깨),Yellow Sesame seeds,1,1,이물,Defectiveness,H,1.0%이상,,2022-01-02,2023-12-31,
232,들깨,1207991000,1,들깨,Perilla seeds,1,1,이물,Defectiveness,H,1.0%이상,,2022-01-02,2023-12-31,
233,대마종자,1207999000,1,대마종자,Hemp Seed,,,,,,,,2013-09-23,2023-12-31,기타세번
234,기타,1208909000,5,기타,Other,,,,,,,,2022-01-01,2023-12-31,기타세번
235,벤트그래스종자,1209299000,1,벤트그래스종자,Bent Grass Seed,,,,,,,,2014-12-02,2023-12-31,기타세번
236,달래종자,1209911090,1,달래종자,Rocambole Seed,,,,,,,,2014-12-02,2023-12-31,기타세번
237,가지종자,1209919000,1,가지종자,Eggplant Seed,,,,,,,,2014-12-02,2023-12-31,기타세번
238,느티나무종자,1209991090,1,느티나무종자,zelkova seed (Zelkowa serrata making),,,,,,,,2014-12-02,2023-12-31,기타세번
239,당귀종자,1209999000,1,당귀종자,Angelicae gigantis radix seed (Angelica gigas nakai),,,,,,,,2014-12-02,2023-12-31,기타세번
240,구기자,1211901970,1,구기자(식품용),Lycium chinese Miller(Lycii Fructus)(edible),,,,,,,,2017-02-13,2023-12-31,기타세번
241,오미자,1211901980,1,오미자(식품용),Schisandra chinensis Baillon(edible)(오미자),,,,,,,,2017-02-13,2023-12-31,기타세번
242,황기,1211901999,1,황기(식품용),Astragalus membranaceus Bunge(edible),,,,,,,,2017-02-13,2023-12-31,기타세번
243,마른파래,1212214090,1,마른파래,Dried green laver,,,,,,,,2014-12-02,2023-12-31,기타세번
244,마른다시마,1212215090,1,마른다시마,Dried sea tangle,,,,,,,,2014-12-02,2023-12-31,기타세번
245,마른우뭇가사리,1212216090,1,마른우뭇가사리,Dried seaweed gelidium,,,,,,,,2014-12-02,2023-12-31,기타세번
246,마른해조(코토니),1212219019,1,마른해조(코토니),Dried Eucheuma cottonii,,,,,,,,2014-12-02,2023-12-31,기타세번
247,기타,1212291090,1,기타,Other,1,1,,,1, 건조한 것,,2017-02-24,2023-12-31,FTA세율
248,기타,1212292090,1,기타,Other,1,1,체형,shape,1, 건조한 것,,2022-01-02,2023-12-31,FTA세율
249,기타,1212293090,1,기타,Other,1,1,체형,shape,1, 건조한 것,,2022-01-02,2023-12-31,FTA세율
250,기타,1212294090,1,기타,Other,1,1,,,1, 신선한 것,,2017-02-24,2023-12-31,FTA세율
251,기타,1212295090,1,기타,Other,1,1,체형,shape,1, 염장한 것,,2022-01-02,2023-12-31,FTA세율
252,치커리(chicory) 뿌리,1212940000,1,치커리(chicory) 뿌리,Chicory roots,1,1,체형,shape,1, 시코리엄 인티부스 새티범(Cichorium intybus sativum) 변종의 것으로서 볶지 아니한 것,,2022-01-02,2023-12-31,FTA세율
253,비식용 꽃가루(화분),1212993000,1,비식용 꽃가루(화분),Bee pollen(Inedible),,,,,,,,2019-02-01,2023-12-31,
254,대맥약엽,1212999000,1,대맥약엽,Barley young leaf powder,,,,,,,,2014-12-02,2023-12-31,기타세번
255,귀리건초,1214909090,1,귀리건초,Oat hay(straw),,,,,,,,2014-12-02,2023-12-31,기타세번
256,대마수지,1301909000,1,대마수지,Cannabis Resin,,,,,,,,2013-09-23,2023-12-31,기타세번
257,인삼엑스,1302191110,1,인삼엑스,White Ginseng Extract,1,1,1g당 사포닌함량,Saponin,H,130mg/g이상,,2007-06-15,2023-12-31,
258,기타,1302199039,1,기타,Other,1,1,,,1, 제충국의 것 또는 로테논을 함유하는 식물뿌리의 것,,2017-02-24,2023-12-31,FTA세율
259,기타,1302199099,1,기타,Other,1,1,체형,shape,1, 제충국인 것 또는 로테논을 함유하는 식물뿌리인 것,,2022-01-02,2023-12-31,FTA세율
260,기타,1401900000,1,골풀,Rush,,,,,,,,2017-02-03,2023-12-31,기타세번
261,기타,1404902090,1,기타,Other,1,1,,,1, 삼지닥나무(edgeworthia papyriferu) 껍질,,2017-02-24,2023-12-31,FTA세율
262,헤나 파우더,1404906090,1,헤나 파우더,Henna Powder,,,,,,,,2014-12-02,2023-12-31,기타세번
263,코코넛껍질,1404909000,1,코코넛껍질,Coconut Peat,,,,,,,,2013-09-23,2023-12-31,기타세번
264,소의 것,1502901000,1,소의 것,Of bovine animals,1,1,,,1, 산가(酸價)가 2 이하인 것,,2017-02-24,2023-12-31,FTA세율
265,면양의 것,1502909000,1,면양의 것,Fat of Sheep,,,,,,,,2014-12-02,2023-12-31,기타세번
266,명태간유,1504109000,1,명태간유,Alaska Pollock Fish Oil,,,,,,,,2014-12-02,2023-12-31,기타세번
267,하프바다표범유,1504309000,1,하프바다표범유,Harp Seal Oil,,,,,,,,2014-12-02,2023-12-31,기타세번
268,라놀린,1505009000,1,라놀린,Lanolin,,,,,,,,2014-12-02,2023-12-31,기타세번
269,자라유,1506009000,1,자라유,Turtle Oil ,,,,,,,,2014-12-02,2023-12-31,기타세번
270,대두유와 그 분획물,1507102000,1,바이오디젤 제조용의 것,Soyabean Oil for manufacturing biodiesel,,,,,,,,2009-08-01,2023-12-31,
271,대두유와 그 분획물,1507109000,1,식용 대두유,Edible Soyabean,,,,,,,,2009-08-01,2023-12-31,
272,대두유와 그 분획물,1507901020,1,바이오디젤 제조용의 것,Soyabean Oil for manufacturing biodiesel,,,,,,,,2009-08-01,2023-12-31,
273,대두유와 그 분획물,1507901090,1,식용 대두유,Edible Soyabean,,,,,,,,2009-08-01,2023-12-31,
274,대두유와 그 분획물,1507909000,1,식용 대두유,Edible Soyabean,,,,,,,,2009-08-01,2023-12-31,
275,정제유,1509900000,1,정제유,Refined olive oil,,,,,,,,2014-12-02,2023-12-31,기타세번
276,정제유,1511909000,1,정제유,Refined palm Oil,,,,,,,,2014-12-02,2023-12-31,기타세번
277,들기름,1515901000,1,들기름,Perilla oils,1,1,포장형태,Package,H,Consumer pack(350ml등 소매포장),,2007-06-15,2023-12-31,
278,달맞이꽃종자유,1515909090,1,달맞이꽃종자유,Evening Primrose Oil,,,,,,,,2014-12-02,2023-12-31,기타세번
279,기타,1516202090,1,기타,Other,1,1,체형,shape,1," ""오팔 왁스""로 불리는 가수 피마자유",,2022-01-02,2023-12-31,FTA세율
280,마가린(액상 마가린은 제외한다),1517100000,1,마가린(액상 마가린은 제외한다),"Margarine, excluding liquid margarine",1,1,체형,shape,1, 유지의 무게가 10퍼센트 초과 15퍼센트 이하로 포함하고 있는 것,,2022-01-02,2023-12-31,FTA세율
281,이미테이션 라드,1517901000,1,이미테이션 라드,Imitation lard,1,1,체형,shape,1, 유지의 무게가 10퍼센트 초과 15퍼센트 이하로 포함하고 있는 것,,2022-01-02,2023-12-31,FTA세율
282,쇼트닝,1517902000,1,쇼트닝,Shortening,1,1,체형,shape,1, 유지의 무게가 10퍼센트 초과 15퍼센트 이하로 포함하고 있는 것,,2022-01-02,2023-12-31,FTA세율
283,기타,1517909000,1,기타,Other,1,1,체형,shape,1, 유지의 무게가 10퍼센트 초과 15퍼센트 이하로 포함하고 있는 것,,2022-01-02,2023-12-31,FTA세율
284,사료용,1518009010,1,사료용,For feeding,1,1,품종,type,1, 리녹신,,2022-01-02,2023-12-31,FTA세율
285,기타,1518009090,1,기타,Other,1,1,품종,type,1, 리녹신,,2022-01-02,2023-12-31,FTA세율
286,냉동 숯불 닭고기 제품,1602321090,1,냉동 숯불 닭고기 제품,Frozen Charcoal Grilled Chicken Yakitori,,,,,,,,2014-12-02,2023-12-31,기타세번
287,오리육 조제품,1602399000,1,오리육 조제품,Duck meat preparation,,,,,,,,2013-09-23,2023-12-31,기타세번
288,육포,1602509000,1,육포,Beef Jerky,,,,,,,,2014-12-02,2023-12-31,기타세번
289,냉동번데기,1602909000,1,냉동번데기,Frozen Silkworm Chrysalis,,,,,,,,2013-09-23,2023-12-31,기타세번
290,갑각류 엑스,1603009000,1,갑각류 엑스,Crustaceans extracts,,,,,,,,2014-12-02,2023-12-31,기타세번
291,조미료 및 향신료로 조제(조미)하여 훈제한 것,1604119000,1,조미료 및 향신료로 조제(조미)하여 훈제한 것,"Prepared Salmon, smoked",,,,,,,,2014-12-02,2023-12-31,기타세번
292,조미한 건조가다랑어,1604141029,1,조미한 건조가다랑어,Dried seasoned skipjack,,,,,,,,2014-12-02,2023-12-31,기타세번
293,조미한 건조멸치,1604169000,1,조미한 건조멸치,Dried seasoned anchovies,,,,,,,,2014-12-02,2023-12-31,기타세번
294,조제 또는 저장처리한 뱀장어(밀폐용기에 넣은 것),1604171000,1,구운 뱀장어,"Eels, roasted only",1,1,냉동여부,Freezing,N,냉동하지 않은 것,,2012-01-01,2023-12-31,
295,조제 또는 저장처리한 쥐치포,1604199010,1,마른 조미 쥐치포(타원형),Dried jerk filefish(oval type),1,1,색상,Color,B,갈색,,2007-07-16,2023-12-31,
296,대구,1604199090,2,대구,Dried Seasoned Cod,,,,,,,,2013-09-23,2023-12-31,기타세번
297,생선 크래커,1604209000,1,생선 크래커,Fish crackers,,,,,,,,2014-12-02,2023-12-31,기타세번
298,캐비아 대용물,1604320000,1,캐비아 대용물(기타),Caviar substitutes(other),1,1,저장방법,Preserving,F,냉동한 것,,2012-01-01,2023-12-31,
299,기타 조제 또는 저장처리한 새우,1605219000,1,기타 조제 또는 저장처리한 새우,Other prepared or preserved shrimps,1,1,양식여부,Farming,N,자연산이면,,2012-01-01,2023-12-31,
300,조제 또는 저장처리한 홍합,1605539000,1,기타 홍합,Other prepared or preserved mussel,1,1,건조여부,Dried,N,건조하지 않은 것,,2012-01-01,2023-12-31,
301,밀폐용기에 넣은 것,1605542010,1,밀폐용기에 넣은 것,In airtight containers,1,1,,,1, 옴마스트레페스(Ommastrephes)종ㆍ로리고(Loligo)종ㆍ노토토다루스(Nototodarus)종ㆍ세피오투디스(Sepioteuthis)종의 것,,2017-02-24,2023-12-31,FTA세율
302,조미오징어,1605542091,1,조미오징어채(자이안트),"Seasoned Squid, shredded(Giant)",,,,,,,,2012-01-01,2023-12-31,
303,오징어(삶은 것),1605542099,1,오징어(삶은 것),Frozen boiled squid,,,,,,,,2013-09-23,2023-12-31,기타세번
304,고둥살(삶은 것),1605599090,1,고둥살(삶은 것),Frozen boiled tun shell meat,,,,,,,,2013-09-23,2023-12-31,기타세번
305,조제 또는 저장처리한 해삼,1605619000,1,건해삼(홍삼),Dried sea cucumber(red color),1,1,마리당 길이,Size,L,10cm~15cm미만,,2012-01-01,2023-12-31,
306,사탕무당,1701121000,1,사탕무당,Beet Sugar(Polarization not exceeding 98.5),,,,,,,,2011-04-22,2023-12-31,
307,사탕무당,1701122000,1,사탕무당,Beet Sugar(Polarization exceeding 98.5),,,,,,,,2011-04-22,2023-12-31,
308,사탕무 설탕,1701910000,1,사탕무 설탕,Beet Sugar(added flavouring or colouring matter),,,,,,,,2011-03-01,2023-12-31,
309,사탕무 설탕,1701990000,1,사탕무 설탕,Beet Sugar(Other),,,,,,,,2011-03-01,2023-12-31,
310,맥아당,1702903000,1,맥아당,Maltose,1,1,품종,type,1, 화학적으로 순수한 맥아당,,2022-01-02,2023-12-31,FTA세율
311,말토덱스트린,1702909000,1,말토덱스트린,Maltodextrin,,,,,,,,2014-12-02,2023-12-31,기타세번
312,사료용 당밀 (사탕수수에서 생긴 것),1703109000,1,사료용 당밀 (사탕수수에서 생긴 것),For feeding,,,,,,,,2014-12-02,2023-12-31,기타세번
313,풍당,1704909000,1,풍당,Fondant,,,,,,,,2013-09-23,2023-12-31,기타세번
314,밀가루의 것,1901209000,1,밀가루의 것,Wheat Flour Preparation of Baker's Wares,,,,,,,,2013-09-23,2023-12-31,기타세번
315,밀가루의 것,1901909099,1,밀가루의 것,Wheat Flour Preparation,,,,,,,,2013-09-23,2023-12-31,기타세번
316,당면,1902192000,1,고구마당면,"Chinese vermicelli, made of sweet potato starch",,,,,,,,2007-06-15,2023-12-31,
317,스파게티,1902199000,1,스파게티,Spaghetti ,,,,,,,,2013-09-23,2023-12-31,기타세번
318,속을 채운 파스타(조리한 것인지 또는 그 밖의 방법으로 조제한 것인지에 상관없다),1902200000,1,속을 채운 파스타(조리한 것인지 또는 그 밖의 방법으로 조제한 것인지에 상관없다),"Stuffed pasta, whether or not cooked or otherwise prepared",1,1,,,1," 소시지, 육, 설육(屑肉), 피 또는 이들의 혼합물의 함량이 전 중량의 20퍼센트이상 포함된 것",,2017-02-24,2023-12-31,FTA세율
319,조 분말 조제품,1904109000,1,조 분말 조제품,"Millet, swelled",,,,,,,,2013-09-23,2023-12-31,기타세번
320,찌거나 삶은 쌀,1904901010,1,찌거나 삶은 쌀(현미),Steamed or boiled husked rice,,,,,,,,2007-06-15,2023-12-31,
321,빵가루,1905901090,1,빵가루,Bread Crumb,,,,,,,,2014-12-02,2023-12-31,기타세번
322,초산염교,2001909050,1,초산염교,"Rakkyo, prepared or preserved",1,1,개당지름,size,A,13mm~17mm,,2007-06-15,2023-12-31,
323,초산마늘,2001909060,1,초산깐마늘(육쪽),"Garlic, peeled and preserved by acetic acid(Hard stem)",1,1,개당평균중량,Weight,L,4g이상,,2007-06-15,2023-12-31,
324,기타,2001909090,1,기타,Other,1,1,체형,shape,1," 팜허트, 전분의 함량이 전 중량의 5퍼센트 이상 함유된 얌·고구마 및 유사한 식물의 식용부분",,2022-01-02,2023-12-31,FTA세율
325,조제양송이버섯,2003104000,1,조제양송이버섯(원형),"Cultivated mushroom, prepared or preserved (whole)",1,1,개당지름,size,L,3.8cm이상,,2007-06-15,2023-12-31,
326,조제저장표고,2003901000,1,저장표고버섯(전신),Preserved Oak Mushrooms(whole),1,1,등급,Quality,A,화고,,2007-06-15,2023-12-31,
327,초고버섯,2003909000,1,초고버섯,Straw mushroom preparation,,,,,,,,2014-12-02,2023-12-31,기타세번
328,감자,2004100000,1,감자,Potatoes,1,1,체형,shape,1," 고운 가루, 거친 가루 또는 플레이크(flake)의 형태의 것",,2022-01-02,2023-12-31,FTA세율
329,냉동 양파 조제품,2004909000,1,냉동 양파 조제품,Frozen Onion Preparation,,,,,,,,2013-09-23,2023-12-31,기타세번
330,기타,2005209000,1,기타,Other,1,1,체형,shape,1," 고운가루, 거친가루 또는 플레이크(flake)의 형태의 것",,2022-01-02,2023-12-31,FTA세율
331,조제 또는 저장처리한 팥(탈각한 것),2005512000,1,통팥,"Small beans, shelled(whole)",1,1,알곡직경,Diameter,L,직경 10mm이상,,2007-07-16,2023-12-31,
332,강낭콩의 것,2005519000,1,강낭콩의 것,Kidney Beans Preparation,,,,,,,,2014-12-02,2023-12-31,기타세번
333,기타 조제 또는 저장처리한 팥,2005592000,1,기타 조제 또는 저장처리한 팥,Other prepared or preserved small beans,1,1,알곡직경,Diameter,L,직경 10mm이상,,2007-07-16,2023-12-31,
334,김치,2005991000,1,배추김치(포기김치),Chinese cabbage kimchi(whole),,,,,,,,2007-06-15,2023-12-31,
335,무우말랭이,2005999000,1,무우말랭이,Seasoned Dried Radish,,,,,,,,2013-09-23,2023-12-31,기타세번
336,퓨레,2007999000,1,퓨레,Fruit Puree,,,,,,,,2013-09-23,2023-12-31,기타세번
337,피넛버터,2008111000,1,피넛버터(크리미),Peanut butter(creamy),1,1,포장종류,Package,B,Bulk(박스 등),,2007-07-16,2023-12-31,
338,조제땅콩,2008119000,1,볶은 피땅콩,"Roasted groundnut, in shell",1,1,100g당 꼬투리수,size,L,39~46개/100g,,2007-06-15,2023-12-31,
339,조제밤,2008191000,1,조제밤(홀),"Chestnut, prepared or preserved(whole)",1,1,개당평균중량,size,L,15g~25g미만,,2007-06-15,2023-12-31,
340,참깨,2008199000,1,참깨,Sesamum preparations,,,,,,,,2014-12-02,2023-12-31,기타세번
341,밀감 조제품,2008309000,1,밀감 조제품,Mandarin orange preparation ,,,,,,,,2014-12-02,2023-12-31,기타세번
342,"복숭아통조림(설탕첨가,밀폐용기)",2008701000,1,복숭아통조림(황도반쪽),Canned yellow peach(half),1,1,당 첨가물,Addition,Su,설탕,,2007-07-16,2023-12-31,
343,김,2008995010,1,김,Laver,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2019-10-01,2023-12-31,FTA세율
344,기타,2008995090,1,기타,Other,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2019-10-01,2023-12-31,FTA세율
345,망고,2008999000,1,망고,Mango preparation,,,,,,,,2014-12-02,2023-12-31,기타세번
346,기타,2009891090,1,기타,Other,1,1,,,1, 자두주스,,2017-02-24,2023-12-31,FTA세율
347,커피추출물 조제품,2101129090,1,커피추출물 조제품,Coffee extract Preparation ; Coffee Flavor,,,,,,,,2014-12-02,2023-12-31,기타세번
348,녹차 추출물,2101209090,1,녹차 추출물,Green tea extract,,,,,,,,2013-09-23,2023-12-31,기타세번
349,메밀의 것,2101309000,1,메밀의 것,Roasted coffee substitutes ; Roasted Buckwheat,,,,,,,,2014-12-02,2023-12-31,기타세번
350,분말상의 것,2102203090,1,분말상의 것,of Powder,,,,,,,,2014-12-02,2023-12-31,기타세번
351,분말상의 것,2102204090,1,분말상의 것,of Powder,,,,,,,,2014-12-02,2023-12-31,기타세번
352,토마토 소스,2103202000,1,토마토 소스,Tomato sauces,1,1,체형,shape,1, 고추·마늘·양파 또는 생강의 함량이 20% 이상이거나 이들의 합이 40%이상인 것,,2022-01-02,2023-12-31,FTA세율
353,청국장,2103901090,1,청국장,Oriental sauces;Fermented soyabean paste,,,,,,,,2014-12-02,2023-12-31,기타세번
354,인스턴트 카레,2103909020,1,인스턴트 카레,Instant curry,1,1,체형,shape,1, 고추·마늘·양파 또는 생강의 어느 하나의 함량이 20퍼센트 이상이거나 이들의 합이 40퍼센트 이상인 것,,2022-01-02,2023-12-31,FTA세율
355,혼합조미료,2103909030,1,혼합조미료,Mixed seasonings,1,1,체형,shape,1, 고추·마늘·양파 또는 생강의 함량이 20퍼센트이상이거나 이들의 합이 40퍼센트 이상인 것,,2022-01-02,2023-12-31,FTA세율
356,메주,2103909040,1,각메주,Mae joo(cake type),1,1,발효방법,Fermented,A,"개량식(아스퍼질러스 오리제, 황국균)",,2007-06-15,2023-12-31,
357,혼합조미료,2103909090,1,고춧가루 혼합조미료(분말상의 것),Mixed seasonings powder,1,1,용도,Use,H,고추장 제조,,2007-07-16,2023-12-31,
358,콜라 베이스,2106901010,1,콜라 베이스,Cola base,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
359,과일향의 음료베이스,2106901020,1,과일향의 음료베이스,Beverage base of perfumed fruits,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
360,기타,2106901090,1,기타,Other,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
361,커피크리머,2106909010,1,커피크리머,Coffee creamer,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
362,아이스크림 제조용 조제품,2106909030,1,아이스크림 제조용 조제품,Preparations for use in manufacturing ice cream,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
363,자기소화효모와 그 밖의 효모 추출물 ,2106909040,1,자기소화효모와 그 밖의 효모 추출물 ,Autolyzed yeast and other yeast extracts,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
364,향미(香味)용 조제품,2106909050,1,향미(香味)용 조제품,Flavors in preparations,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
365,도토리 가루,2106909060,1,도토리 가루,Acorn flour,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
366,알로에를 기본 재료로 한 조제품,2106909070,1,알로에를 기본 재료로 한 조제품,Preparations with a basis of aloe,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
367,음료 제조용 조제품,2106909080,1,음료 제조용 조제품,Of preparations of types used in the manufacture of beverages,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
368,기타,2106909099,1,기타,Other,1,1,체형,shape,1, 향미를 첨가하거나 착색 설탕시럽 외의 것,,2022-01-02,2023-12-31,FTA세율
369,기타,2202999000,1,맥아음료,Nonalcoholic malt beverage,,,,,,,,2017-02-03,2023-12-31,기타세번
